CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,ProductsPerTenure,EngagementScore,WealthScore,RelationshipStrength,AgeGroup,WealthSegment,HighValueDisengaged,Geography_enc,Gender_enc
726,France,Female,24,6,0.0,2,1,1,54724.03,0,0.0,0.2857142857142857,1.0,0.9728393584314277,0.68,18-25,Low,0,0,0
732,France,Male,41,8,0.0,2,1,1,170886.17,0,0.0,0.2222222222222222,1.0,1.5791720713305366,0.74,36-45,High,0,0,1
636,Spain,Female,32,8,0.0,2,1,0,138555.46,0,0.0,0.2222222222222222,0.3,1.1847451423215105,0.45999999999999996,26-35,Medium,0,1,0
510,Spain,Female,38,4,0.0,1,1,0,118913.53,1,0.0,0.2,0.3,0.7832116905582887,0.24,36-45,Low,0,1,0
669,France,Male,46,3,0.0,2,0,1,8487.75,0,0.0,0.5,0.7,0.6008491192307938,0.47,46-55,Low,0,0,1
846,France,Female,38,5,0.0,1,1,1,187616.16,0,0.0,0.16666666666666666,1.0,1.9371577322585236,0.55,36-45,Premium,0,0,0
577,France,Male,25,3,0.0,2,0,1,124508.29,0,0.0,0.5,0.7,0.9720104577967875,0.47,18-25,Low,0,0,1
756,Germany,Male,36,2,136815.64,1,1,1,170041.95,0,0.8045946038927224,0.3333333333333333,1.0,2.3679806609552476,0.46,36-45,Premium,0,2,1
571,France,Male,44,9,0.0,2,0,0,38433.35,0,0.0,0.2,0.0,0.5190063588103317,0.37,36-45,Low,0,0,1
574,Germany,Female,43,3,141349.43,1,1,1,100187.43,0,1.4108358619852612,0.25,1.0,1.6009648892888513,0.49000000000000005,36-45,High,0,2,0
432,France,Male,29,0,59697.17,2,1,1,53483.21,0,1.116164378234249,2.0,1.0,0.5841744616658591,0.5,26-35,Low,0,0,1
591,Spain,Female,39,3,0.0,3,1,0,140469.38,1,0.0,0.75,0.3,1.0868432461384412,0.41,36-45,Medium,0,1,0
533,France,Male,36,7,85311.7,1,0,1,156731.91,0,0.5443126143705237,0.125,0.7,1.4897074248731883,0.49,36-45,High,0,0,1
553,Germany,Male,41,9,110112.54,2,0,0,81898.81,0,1.3444785769344276,0.2,0.0,1.28955508844461,0.37,36-45,Medium,1,2,1
520,Spain,Female,42,6,0.0,2,1,1,34410.55,0,0.0,0.2857142857142857,1.0,0.376496033361726,0.68,36-45,Low,0,1,0
722,Spain,Female,29,9,0.0,2,1,1,142033.07,0,0.0,0.2,1.0,1.40820916006703,0.77,26-35,Medium,0,1,0
475,France,Female,45,0,134264.04,1,1,0,27822.99,1,4.825477582474692,1.0,0.3,0.9572433409335729,0.12,36-45,Low,1,0,0
490,Spain,Male,31,3,145260.23,1,0,1,114066.77,0,1.2734555080720873,0.25,0.7,1.491768451377406,0.37,26-35,High,0,1,1
804,Spain,Male,33,7,76548.6,1,0,1,98453.45,0,0.7775026928696469,0.125,0.7,1.793915982000809,0.49,26-35,High,0,1,1
850,France,Male,36,7,0.0,1,1,1,40812.9,0,0.0,0.125,1.0,1.1985969959924334,0.6100000000000001,36-45,Medium,0,0,1
582,Germany,Male,41,6,70349.48,2,0,1,178074.04,0,0.3950552531112726,0.2857142857142857,0.7,1.6352389180725482,0.5599999999999999,36-45,High,0,2,1
472,Spain,Male,40,4,0.0,1,1,0,70154.22,0,0.0,0.2,0.3,0.4438182801499635,0.24,36-45,Low,0,1,1
465,France,Female,51,8,122522.32,1,0,0,181297.65,1,0.6758038187267252,0.1111111111111111,0.0,1.6523100110167774,0.24,46-55,High,1,0,0
556,France,Female,61,2,117419.35,1,1,1,94153.83,0,1.2470879082889321,0.3333333333333333,1.0,1.398476119488752,0.46,56+,Medium,0,0,0
834,France,Female,49,2,131394.56,1,0,0,194365.76,1,0.6760135323550178,0.3333333333333333,0.0,2.6493904886788155,0.06,46-55,Premium,1,0,0
660,Spain,Female,61,5,155931.11,1,1,1,158338.39,0,0.9847903923338341,0.16666666666666666,1.0,2.1814616333502523,0.55,56+,Premium,0,1,0
776,Germany,Female,32,4,109421.13,2,1,1,126517.46,0,0.8648629614998475,0.4,1.0,2.046712945665125,0.62,26-35,Premium,0,2,0
829,Germany,Female,27,9,112045.67,1,1,1,119708.21,1,0.9359820351333034,0.1,1.0,2.1529191650737074,0.67,26-35,Premium,0,2,0
637,Germany,Female,39,9,137843.8,1,1,1,117622.8,1,1.171903985417917,0.1,1.0,1.8216849790550222,0.67,36-45,Premium,0,2,0
550,Germany,Male,38,2,103391.38,1,0,1,90878.13,0,1.137680125238875,0.3333333333333333,0.7,1.291996446335702,0.33999999999999997,36-45,Medium,0,2,1
776,Germany,Female,37,2,103769.22,2,1,0,194099.12,0,0.5346169801440618,0.6666666666666666,0.3,2.3607267709836997,0.27999999999999997,36-45,Premium,1,2,0
698,Germany,Male,44,10,116363.37,2,1,0,198059.16,0,0.5875152781861834,0.18181818181818182,0.3,2.262026962738592,0.52,36-45,Premium,1,2,1
585,Germany,Male,36,5,146050.97,2,0,0,86424.57,0,1.6899046196629075,0.3333333333333333,0.0,1.5824246517034444,0.25,36-45,High,1,2,1
788,France,Female,33,5,0.0,2,0,0,116978.19,0,0.0,0.3333333333333333,0.0,1.4384206953434244,0.25,26-35,High,0,0,0
655,Germany,Male,41,8,125561.97,1,0,0,164040.94,1,0.76542602458859,0.1111111111111111,0.0,2.0352578555968046,0.24,36-45,Premium,1,2,1
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,2.4614231992594915,0.5,0.3,1.1284738259171498,0.15,36-45,Medium,1,2,1
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,1.1040496866763676,0.5,1.0,1.6892312276530936,0.43000000000000005,36-45,High,0,0,1
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,1.4678739416799058,0.16666666666666666,0.3,1.6579676848154692,0.27,36-45,High,1,0,1
725,Germany,Male,21,0,75888.2,1,0,0,45613.75,0,1.6636767712198357,1.0,0.0,1.3320910554954688,0.0,18-25,Medium,0,2,1
511,Spain,Female,66,4,0.0,1,1,0,1842.8253000000004,1,0.0,0.2,0.3,0.1889952153110046,0.24,56+,Low,0,1,0
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0.8697981113504537,0.2,1.0,0.8831679857903815,0.52,46-55,Low,0,0,1
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,1.6194068978590488,0.16666666666666666,0.0,1.8988251721283054,0.15,26-35,Premium,1,2,1
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,1.2042206612044573,0.2,0.0,2.0644054497020385,0.37,26-35,Premium,1,2,0
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0.3136742891310489,1.0,0.0,1.4976300593419025,0.13,26-35,High,0,1,1
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0.7918276334978415,0.1111111111111111,1.0,1.5232571960253363,0.64,56+,High,0,1,1
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,1.1758337608532892,0.2,1.0,1.459845763633474,0.52,26-35,High,0,2,1
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,6.117989031447411,0.2857142857142857,1.0,1.8084566660546553,0.68,36-45,Premium,0,2,0
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,0.9203181200898177,0.5,0.3,1.4563508392586169,0.15,26-35,High,1,2,0
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,0.6263147880851527,0.18181818181818182,1.0,2.3801359804908078,0.8,36-45,Premium,0,2,1
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,1.3261339185986714,0.3333333333333333,0.7,1.9281587420514619,0.5299999999999999,26-35,Premium,0,2,0
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,5.403936497473082,0.1111111111111111,0.3,1.193693013580462,0.36,18-25,Medium,1,0,0
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,4.713518938948069,1.3333333333333333,0.3,1.5864486029747034,0.48,56+,High,1,2,1
813,France,Male,29,6,0.0,1,1,0,33953.87,0,0.0,0.14285714285714285,0.3,1.0751256654825527,0.30000000000000004,26-35,Low,0,0,1
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,3.701138909908595,1.0,0.7,1.6339136587083452,0.27999999999999997,36-45,High,0,1,0
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,2.7004407661351677,0.3333333333333333,1.0,1.5482733378374587,0.65,18-25,High,0,2,0
519,France,Male,36,9,0.0,2,0,1,145562.4,0,0.0,0.2,0.7,0.9405491904171744,0.6499999999999999,36-45,Low,0,0,1
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,7.982410558756532,1.0,0.3,1.7905973855745818,0.24999999999999997,18-25,High,1,0,0
664,France,Male,55,8,0.0,2,1,1,139161.64,0,0.0,0.2222222222222222,1.0,1.2548199670143152,0.74,46-55,Medium,0,0,1
678,France,Female,32,9,0.0,1,1,1,148210.64,0,0.0,0.1,1.0,1.3344277700153753,0.67,26-35,Medium,0,0,0
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0.39771915896277726,0.16666666666666666,0.7,2.1734046028001655,0.42999999999999994,26-35,Premium,0,1,1
432,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,1.2429950740880633,0.18181818181818182,0.3,1.1486143166474965,0.52,36-45,Medium,1,2,0
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0.5638114032953774,1.0,0.0,1.9412622805084703,0.13,26-35,Premium,0,0,0
777,France,Female,32,2,0.0,1,1,0,136458.19,1,0.0,0.3333333333333333,0.3,1.5113777328200206,0.18,26-35,High,0,0,0
543,France,Female,36,3,0.0,2,0,0,26019.59,0,0.0,0.5,0.0,0.3887584414049192,0.19,36-45,Low,0,0,0
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0.567129641113844,0.2,1.0,1.4647361098178309,0.52,26-35,High,0,0,0
493,France,Female,46,4,0.0,2,1,0,1907.66,0,0.0,0.4,0.3,0.14626342112785917,0.33999999999999997,46-55,Low,0,0,0
652,Spain,Female,72,10,0.0,2,1,1,114675.75,0,0.0,0.18181818181818182,1.0,1.1013282847527974,0.8,56+,Medium,0,1,0
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,0.9458776852617313,0.25,0.3,2.061274859924276,0.21000000000000002,18-25,Premium,1,1,1
729,France,Male,30,9,0.0,2,1,0,151869.35,0,0.0,0.2,0.3,1.4750826414822393,0.49,26-35,High,0,0,1
646,France,Female,46,4,0.0,3,1,0,93251.42,1,0.0,0.6,0.3,0.9777928109593639,0.43999999999999995,46-55,Low,0,0,0
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0.520584485111392,0.5,1.0,1.7141979974997816,0.59,26-35,High,0,2,0
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,0.0,0.5,1.0,1.3927371358659868,0.75,36-45,Medium,0,1,0
808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0.8062513448674422,0.25,0.3,2.2778249419848295,0.43,36-45,Premium,1,0,1
524,France,Female,36,10,0.0,2,1,0,109614.57,0,0.0,0.18181818181818182,0.3,0.7693157020824148,0.52,36-45,Low,0,0,0
769,France,Male,29,8,0.0,2,1,1,172290.61,0,0.0,0.2222222222222222,1.0,1.674846042027546,0.74,26-35,High,0,0,1
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0.0,0.4,0.7,1.141706154535602,0.49999999999999994,36-45,Medium,0,1,1
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,1.45346077854675,0.09090909090909091,0.7,1.7550945222920933,0.58,26-35,High,0,1,1
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,1.591848443214583,0.1,0.7,1.6885155491364507,0.55,36-45,High,0,1,1
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0.49213205808498933,0.2222222222222222,1.0,2.4318910278280947,0.74,26-35,Premium,0,2,1
710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0.0,0.2222222222222222,0.0,1.1634856479153837,0.33999999999999997,18-25,Medium,0,1,1
432,France,Male,34,9,0.0,2,0,0,6534.18,0,0.0,0.2,0.0,0.023907805097304155,0.37,26-35,Low,0,0,1
665,France,Female,40,6,0.0,1,1,1,161848.03,0,0.0,0.14285714285714285,1.0,1.3728253540476814,0.5800000000000001,36-45,Medium,0,0,0
623,France,Female,44,6,0.0,2,0,0,167162.43,0,0.0,0.2857142857142857,0.0,1.299429816952296,0.28,36-45,Medium,0,0,0
738,France,Male,31,9,82674.15,1,1,0,41970.72,0,1.9697584468780405,0.1,0.3,1.381116022210696,0.39,26-35,Medium,0,0,1
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0.0,0.25,0.3,0.5287766204324894,0.43,36-45,Low,0,1,1
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,0.0,0.5,1.0,1.4653450900336973,0.43000000000000005,56+,High,0,1,0
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,3.455582740235058,0.4,1.0,1.1788178397804394,0.62,46-55,Medium,0,1,0
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,8.844747119246822,0.5,1.0,0.878946619995856,0.43000000000000005,26-35,Low,0,2,1
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,2.6991223316220236,0.3333333333333333,0.7,1.560232213532637,0.33999999999999997,36-45,High,0,2,0
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,2.0885733969778104,0.16666666666666666,0.0,1.577796667070249,0.15,26-35,High,1,1,1
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,0.9334649293128284,0.1,0.3,1.1090522614748717,0.39,26-35,Medium,0,2,1
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,1.4351813807267404,0.25,0.7,1.4041919511321446,0.37,26-35,Medium,0,2,1
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,3.9679079150977556,0.25,0.3,0.9640129676703821,0.43,36-45,Low,1,2,1
562,France,Male,42,2,100238.35,1,0,0,86797.41,0,1.1548408548036768,0.3333333333333333,0.0,1.282953963288117,0.06,36-45,Medium,1,0,1
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,4.617920081129552,0.1,0.7,1.2601459320471262,0.55,36-45,Medium,0,1,1
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,1.524902089732931,0.2,0.7,2.028896767077491,0.6499999999999999,26-35,Premium,0,2,1
628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,1.7844284484872819,0.2,1.0,1.5491731414719931,0.77,26-35,High,0,2,0
668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,1.4516208115771032,0.14285714285714285,0.3,2.0471631763247378,0.30000000000000004,36-45,Premium,1,2,0
506,France,Female,41,1,0.0,2,1,0,31766.3,0,0.0,1.0,0.3,0.3295277395192804,0.24999999999999997,36-45,Low,0,0,0
524,Germany,Female,31,8,107818.63,1,1,0,198069.7345,1,0.5443440711833176,0.1111111111111111,0.3,1.7998655384017732,0.36,26-35,Premium,1,2,0
699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,1.5324456856545776,0.4,0.3,2.2408837374276116,0.33999999999999997,26-35,Premium,1,2,1
828,France,Male,34,8,129433.34,2,0,0,38131.77,0,3.3942810868447273,0.2222222222222222,0.0,1.8282999687495813,0.33999999999999997,26-35,Premium,1,0,1
674,Spain,Male,39,6,120193.42,1,0,0,100130.95,0,1.200350337729366,0.14285714285714285,0.0,1.7261499389451485,0.18000000000000002,36-45,High,1,1,1
656,France,Female,39,6,0.0,2,1,0,141069.88,0,0.0,0.2857142857142857,0.3,1.2454058711617706,0.4,36-45,Medium,0,0,0
684,Germany,Female,48,10,126384.42,1,1,1,198069.7345,0,0.6380772016574715,0.09090909090909091,1.0,2.2824739167385926,0.7,46-55,Premium,0,2,0
625,France,Female,28,3,0.0,1,0,0,183646.41,0,0.0,0.25,0.0,1.3882191924974028,0.09000000000000001,26-35,Medium,0,0,0
432,France,Male,42,9,152603.45,1,1,0,110265.24,1,1.3839544179614722,0.1,0.3,1.3731258114583693,0.39,36-45,Medium,1,0,1
549,France,Female,52,1,0.0,1,0,1,8636.05,1,0.0,0.5,0.7,0.31452353723023274,0.30999999999999994,46-55,Low,0,0,0
625,Germany,Male,56,0,148507.24,1,1,0,46824.08,1,3.171532008060637,1.0,0.3,1.4895167764227157,0.12,56+,High,1,2,1
828,France,Female,41,7,0.0,2,1,0,171378.77,0,0.0,0.25,0.3,1.811347502164306,0.43,36-45,Premium,0,0,0
770,France,Male,24,9,101827.07,1,1,0,167256.35,0,0.608804755067565,0.1,0.3,2.199134698663599,0.39,18-25,Premium,1,0,1
758,France,Female,34,3,0.0,2,1,1,124226.16,0,0.0,0.5,1.0,1.4035870375995287,0.59,26-35,Medium,0,0,0
795,Germany,Female,33,9,130862.43,1,1,1,114935.21,0,1.1385657313739508,0.1,1.0,2.1484383631743995,0.67,26-35,Premium,0,2,0
687,France,Male,38,9,122570.87,1,1,1,35608.88,0,3.4420467016457232,0.1,1.0,1.4412210398682341,0.67,36-45,High,0,0,1
686,France,Male,25,1,0.0,2,0,1,16459.37,0,0.0,1.0,0.7,0.6821434753191483,0.4099999999999999,18-25,Low,0,0,1
789,Germany,Male,39,7,124828.46,2,1,1,124411.08,0,1.0033467811164318,0.25,1.0,2.1499283823099864,0.71,36-45,Premium,0,2,1
589,Germany,Female,50,5,144895.05,2,1,1,34941.23,0,4.146703000924669,0.3333333333333333,1.0,1.3234119756781775,0.65,46-55,Medium,0,2,0
461,Germany,Female,34,5,63663.93,1,0,1,167784.28,0,0.3794369208073557,0.16666666666666666,0.7,1.2573771609298183,0.42999999999999994,26-35,Medium,0,2,0
637,France,Male,40,2,133463.1,1,0,1,93165.34,0,1.432524879693675,0.3333333333333333,0.7,1.6734901089867091,0.33999999999999997,36-45,High,0,0,1
584,Spain,Female,48,2,185967.98540000003,1,1,0,75161.25,1,2.474220574823133,0.3333333333333333,0.3,1.7372773948227225,0.18,46-55,High,1,1,0
579,Spain,Female,35,1,129490.36,2,0,1,8590.83,1,15.071336374206659,1.0,0.7,1.0823680048371507,0.4099999999999999,26-35,Medium,0,1,0
756,Germany,Male,44,10,137452.09,1,1,0,189543.9,0,0.7251690232762791,0.09090909090909091,0.3,2.4707877114566466,0.42,36-45,Premium,1,2,1
663,France,Male,34,7,0.0,2,1,1,180427.24,0,0.0,0.25,1.0,1.4627229391388583,0.71,26-35,High,0,0,1
682,France,Female,43,5,125851.93,1,1,1,193318.33,0,0.6510054116161069,0.16666666666666666,1.0,2.2506120580922646,0.55,36-45,Premium,0,0,0
793,Spain,Male,52,2,0.0,1,1,0,159123.82,1,0.0,0.3333333333333333,0.3,1.6651624914300536,0.18,46-55,High,0,1,1
691,France,Female,31,5,40915.55,1,1,0,126213.84,1,0.3241738451674938,0.16666666666666666,0.3,1.4734433982304054,0.27,26-35,High,0,0,0
485,Spain,Female,21,5,113157.22,1,1,1,54141.5,0,2.089988825783811,0.16666666666666666,1.0,1.0017925619778063,0.55,18-25,Low,0,1,0
635,Spain,Female,29,8,138296.94,2,1,0,141075.51,0,0.9802974286789486,0.2222222222222222,0.3,1.9388552633373497,0.45999999999999996,26-35,Premium,1,1,0
650,France,Male,37,5,106967.18,1,0,0,24495.03,0,4.366714932991183,0.16666666666666666,0.0,1.212161298300431,0.15,36-45,Medium,1,0,1
735,France,Male,44,9,120681.63,1,1,0,74836.34,0,1.6125857760310562,0.1,0.3,1.7458032906541965,0.39,36-45,High,1,0,1
432,France,Male,32,0,0.0,2,0,1,1842.8253000000004,0,0.0,2.0,0.7,0.0,0.37999999999999995,26-35,Low,0,0,1
754,Spain,Female,32,7,0.0,2,1,0,89520.75,0,0.0,0.25,0.3,1.2171539963047584,0.43,26-35,Medium,0,1,0
535,France,Female,48,9,0.0,1,1,0,149892.79,1,0.0,0.1,0.3,1.0008949804639702,0.39,46-55,Low,0,0,0
716,Spain,Male,42,8,0.0,2,1,0,180800.42,0,0.0,0.2222222222222222,0.3,1.5914189754156218,0.45999999999999996,36-45,High,0,1,1
539,France,Male,37,2,127609.59,1,1,0,98646.22,0,1.293595399850092,0.3333333333333333,0.3,1.4354957840307592,0.18,36-45,Medium,1,0,1
614,France,Female,43,6,0.0,2,1,1,109041.53,0,0.0,0.2857142857142857,1.0,0.9817064142205131,0.68,36-45,Low,0,0,0
706,Spain,Male,57,7,0.0,1,1,0,17941.16,1,0.0,0.125,0.3,0.737541776064251,0.33,56+,Low,0,1,1
758,France,Female,33,7,0.0,2,0,0,82996.47,0,0.0,0.25,0.0,1.1934747234011862,0.31,26-35,Medium,0,0,0
586,Spain,Female,28,2,0.0,2,1,1,92067.35,0,0.0,0.6666666666666666,1.0,0.8282179534126058,0.56,26-35,Low,0,1,0
646,France,Female,72,6,97259.25,1,0,1,104719.66,0,0.9287493986382438,0.14285714285714285,0.7,1.559225790419044,0.45999999999999996,56+,High,0,0,0
631,Germany,Female,33,4,123246.7,1,0,0,112687.57,0,1.0936929983227224,0.2,0.0,1.7036877415408285,0.12,26-35,High,1,2,0
717,Spain,Female,22,6,101060.25,1,0,1,84699.56,0,1.1931473652594504,0.14285714285714285,0.7,1.64749599890005,0.45999999999999996,18-25,High,0,1,0
684,France,Male,30,2,0.0,2,1,0,83473.82,0,0.0,0.6666666666666666,0.3,1.0188738734911928,0.27999999999999997,26-35,Low,0,0,1
800,France,Female,49,7,108007.36,1,0,0,47125.11,0,2.291879384909979,0.125,0.0,1.6919323801003356,0.21000000000000002,46-55,High,1,0,0
721,Spain,Female,36,2,0.0,2,1,1,106977.8,0,0.0,0.6666666666666666,1.0,1.2271702163699685,0.56,36-45,Medium,0,1,0
683,Spain,Male,29,0,133702.89,1,1,0,55582.54,1,2.4054403515860994,1.0,0.3,1.5933001228649302,0.12,26-35,High,1,1,1
660,Germany,Male,31,9,125189.75,2,1,1,139874.43,0,0.8950088661032177,0.2,1.0,1.9220621080100369,0.77,26-35,Premium,0,2,1
704,Germany,Female,24,7,113034.22,1,1,0,162503.48,1,0.6955760235040904,0.125,0.3,2.0772825334120992,0.33,18-25,Premium,1,2,0
615,Spain,Female,41,9,109013.23,1,1,0,196499.96,0,0.5547719970426608,0.1,0.3,2.0159927817718026,0.39,36-45,Premium,1,1,0
667,Spain,Female,39,2,0.0,2,1,0,40721.24,1,0.0,0.6666666666666666,0.3,0.7603308406449005,0.27999999999999997,36-45,Low,0,1,0
682,Germany,Male,24,9,57929.81,2,0,0,53134.3,0,1.0902321055870579,0.2,0.0,1.1709789202537602,0.37,18-25,Medium,0,2,1
484,France,Female,29,4,130114.39,1,1,0,164017.89,0,0.7932890534742675,0.2,0.3,1.6505290702634605,0.24,26-35,High,1,0,0
628,Germany,Male,27,5,95826.49,2,1,0,155996.96,0,0.6142804046924717,0.3333333333333333,0.3,1.7697756042381247,0.37,26-35,High,0,2,1
480,Germany,Male,44,10,129608.57,1,1,0,5472.7,1,23.6784204468641,0.09090909090909091,0.3,0.8302711164373342,0.42,36-45,Low,1,2,1
578,France,Male,30,4,169462.09,1,1,0,112187.11,0,1.5105173801394818,0.2,0.3,1.8228556815105639,0.24,26-35,Premium,1,0,1
512,France,Male,40,5,0.0,2,1,1,146457.83,0,0.0,0.3333333333333333,1.0,0.9283660164819746,0.65,36-45,Low,0,0,1
484,Spain,Female,35,7,133868.21,1,1,1,27286.1,0,4.905915615803805,0.125,1.0,0.9739098896255528,0.6100000000000001,26-35,Low,0,1,0
510,France,Female,30,0,0.0,2,1,1,130553.47,0,0.0,2.0,1.0,0.8425304661913302,0.5,26-35,Low,0,0,0
606,Germany,Male,36,5,185967.98540000003,2,0,0,179351.89,0,1.0368831268902332,0.3333333333333333,0.0,2.320879167535952,0.25,36-45,Premium,1,2,1
597,Spain,Female,40,8,101993.12,1,0,1,94774.12,0,1.0761592282869175,0.1111111111111111,0.7,1.4167723311193925,0.52,36-45,Medium,0,1,0
754,Germany,Female,55,3,161608.81,1,1,0,8080.85,1,19.99651193724209,0.25,0.3,1.67113892766436,0.21000000000000002,46-55,High,1,2,0
850,Spain,Female,45,2,122311.21,1,1,1,19482.5,0,6.277681628044243,0.3333333333333333,1.0,1.7475946246228875,0.46,36-45,High,0,1,0
510,France,Male,65,2,0.0,2,1,1,48071.61,0,0.0,0.6666666666666666,1.0,0.4221912765446535,0.56,56+,Low,0,0,1
778,Germany,Female,45,1,162150.42,2,1,0,174531.27,0,0.929056958922267,1.0,0.3,2.5797223907498017,0.24999999999999997,36-45,Premium,1,2,0
636,France,Male,42,2,0.0,2,1,1,55470.78,0,0.0,0.6666666666666666,1.0,0.7613338969488497,0.56,36-45,Low,0,0,1
