CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,BalanceSalaryRatio,ProductsPerTenure,EngagementScore,WealthScore,RelationshipStrength,AgeGroup,WealthSegment,HighValueDisengaged,Geography_enc,Gender_enc,Cluster,ChurnProbability,PredictedChurn,RevenueAtRisk,RSI,RSICategory,Recommendation
601,Germany,Male,42,1,98495.72,1,1,0,40014.76,1,2.4614231992594915,0.5,0.3,1.1284738259171498,0.15,36-45,Medium,1,2,1,Wealthy Disengaged,0.64,1,63037.26,22.5,High Risk,Reactivation Campaign
619,France,Male,43,1,125211.92,1,1,1,113410.49,0,1.1040496866763676,0.5,1.0,1.6892312276530936,0.43,36-45,High,0,0,1,Premium Loyal,0.2683,0,33594.36,50.5,Moderate Risk,Cross-Sell Programme
656,France,Male,45,5,127864.4,1,1,0,87107.57,0,1.4678739416799058,0.1666666666666666,0.3,1.6579676848154692,0.27,36-45,High,1,0,1,Wealthy Disengaged,0.46,1,58817.62,34.5,Moderate Risk,Reactivation Campaign
725,Germany,Male,21,0,75888.2,1,0,0,45613.75,0,1.6636767712198357,1.0,0.0,1.3320910554954688,0.0,18-25,Medium,0,2,1,Wealthy Disengaged,0.0816,0,6192.48,7.5,High Risk,Reactivation Campaign
511,Spain,Female,66,4,0.0,1,1,0,1842.8253000000004,1,0.0,0.2,0.3,0.1889952153110046,0.24,56+,Low,0,1,0,High Risk,0.9267,1,0.0,31.5,Moderate Risk,Immediate Outreach
614,France,Male,51,4,40685.92,1,1,1,46775.28,0,0.8697981113504537,0.2,1.0,0.8831679857903815,0.52,46-55,Low,0,0,1,Young Active,0.5549,1,22576.62,59.5,Moderate Risk,Cross-Sell Programme
742,Germany,Male,35,5,136857.0,1,0,0,84509.57,0,1.6194068978590488,0.1666666666666666,0.0,1.8988251721283051,0.15,26-35,Premium,1,2,1,Wealthy Disengaged,0.3505,1,47968.38,22.5,High Risk,Reactivation Campaign
687,Germany,Female,27,9,152328.88,2,0,0,126494.82,0,1.2042206612044573,0.2,0.0,2.0644054497020385,0.37,26-35,Premium,1,2,0,Wealthy Disengaged,0.059,0,8987.4,57.0,Moderate Risk,Reactivation Campaign
555,Spain,Male,33,1,56084.69,2,0,0,178798.13,0,0.3136742891310489,1.0,0.0,1.4976300593419023,0.13,26-35,High,0,1,1,High Risk,0.0526,0,2950.05,33.0,Moderate Risk,Reactivation Campaign
684,Spain,Male,56,8,78707.16,1,1,1,99398.36,0,0.7918276334978415,0.1111111111111111,1.0,1.5232571960253365,0.64,56+,High,0,1,1,Premium Loyal,0.2341,0,18425.35,71.5,Stable,Cross-Sell Programme
603,Germany,Male,26,4,109166.37,1,1,1,92840.67,0,1.1758337608532892,0.2,1.0,1.459845763633474,0.52,26-35,High,0,2,1,Premium Loyal,0.1502,0,16396.79,59.5,Moderate Risk,Cross-Sell Programme
751,Germany,Female,36,6,169831.46,2,1,1,27758.36,0,6.117989031447411,0.2857142857142857,1.0,1.8084566660546555,0.68,36-45,Premium,0,2,0,Premium Loyal,0.0328,0,5570.47,88.0,Loyal,Relationship Manager Assignment
581,Germany,Female,34,1,101633.04,1,1,0,110431.51,0,0.9203181200898176,0.5,0.3,1.4563508392586169,0.15,26-35,High,1,2,0,Wealthy Disengaged,0.4402,1,44738.86,22.5,High Risk,Reactivation Campaign
735,Germany,Male,43,10,123180.01,2,1,1,196673.28,0,0.6263147880851527,0.1818181818181818,1.0,2.380135980490808,0.8,36-45,Premium,0,2,1,Premium Loyal,0.0602,0,7415.44,100.0,Loyal,Relationship Manager Assignment
661,Germany,Female,35,5,150725.53,2,0,1,113656.85,0,1.3261339185986714,0.3333333333333333,0.7,1.9281587420514616,0.5299999999999999,26-35,Premium,0,2,0,Premium Loyal,0.0594,0,8953.1,73.0,Stable,Relationship Manager Assignment
675,France,Female,21,8,98373.26,1,1,0,18203.0,0,5.403936497473082,0.1111111111111111,0.3,1.193693013580462,0.36,18-25,Medium,1,0,0,Wealthy Disengaged,0.0623,0,6128.65,43.5,Moderate Risk,Reactivation Campaign
738,Germany,Male,58,2,133745.44,4,1,0,28373.86,1,4.713518938948069,1.3333333333333333,0.3,1.5864486029747034,0.48,56+,High,1,2,1,High Risk,0.9989,1,133598.32,18.0,High Risk,Immediate Outreach
813,France,Male,29,6,0.0,1,1,0,33953.87,0,0.0,0.1428571428571428,0.3,1.0751256654825527,0.3,26-35,Low,0,0,1,High Risk,0.2563,0,0.0,37.5,Moderate Risk,Reactivation Campaign
657,Spain,Female,37,0,163607.18,1,0,1,44203.55,0,3.701138909908595,1.0,0.7,1.6339136587083452,0.2799999999999999,36-45,High,0,1,0,Premium Loyal,0.1526,0,24966.46,35.5,Moderate Risk,Cross-Sell Programme
604,Germany,Female,25,5,157780.84,2,1,1,58426.81,0,2.700440766135168,0.3333333333333333,1.0,1.548273337837459,0.65,18-25,High,0,2,0,Premium Loyal,0.033,0,5206.77,85.0,Loyal,Relationship Manager Assignment
519,France,Male,36,9,0.0,2,0,1,145562.4,0,0.0,0.2,0.7,0.9405491904171744,0.6499999999999999,36-45,Low,0,0,1,Young Active,0.013,0,0.0,85.0,Loyal,Standard Retention Programme
735,France,Female,21,1,178718.19,2,1,0,22388.0,0,7.982410558756532,1.0,0.3,1.7905973855745818,0.2499999999999999,18-25,High,1,0,0,Wealthy Disengaged,0.0524,0,9364.83,45.0,Moderate Risk,Reactivation Campaign
664,France,Male,55,8,0.0,2,1,1,139161.64,0,0.0,0.2222222222222222,1.0,1.2548199670143152,0.74,46-55,Medium,0,0,1,Young Active,0.0768,0,0.0,94.0,Loyal,Standard Retention Programme
678,France,Female,32,9,0.0,1,1,1,148210.64,0,0.0,0.1,1.0,1.3344277700153753,0.67,26-35,Medium,0,0,0,Young Active,0.1769,0,0.0,74.5,Stable,Cross-Sell Programme
757,Spain,Male,33,5,77253.22,1,0,1,194239.63,0,0.3977191589627772,0.1666666666666666,0.7,2.173404602800165,0.4299999999999999,26-35,Premium,0,1,1,Premium Loyal,0.1275,0,9849.79,50.5,Moderate Risk,Cross-Sell Programme
432,Germany,Female,41,10,122189.66,2,1,0,98301.61,0,1.242995074088063,0.1818181818181818,0.3,1.1486143166474965,0.52,36-45,Medium,1,2,0,High Risk,0.1785,0,21810.85,72.0,Stable,Reactivation Campaign
665,France,Female,34,1,96645.54,2,0,0,171413.66,0,0.5638114032953774,1.0,0.0,1.9412622805084705,0.13,26-35,Premium,0,0,0,Wealthy Disengaged,0.0505,0,4880.6,33.0,Moderate Risk,Reactivation Campaign
777,France,Female,32,2,0.0,1,1,0,136458.19,1,0.0,0.3333333333333333,0.3,1.5113777328200206,0.18,26-35,High,0,0,0,High Risk,0.4002,1,0.0,25.5,High Risk,Reactivation Campaign
543,France,Female,36,3,0.0,2,0,0,26019.59,0,0.0,0.5,0.0,0.3887584414049192,0.19,36-45,Low,0,0,0,High Risk,0.0289,0,0.0,39.0,Moderate Risk,Reactivation Campaign
506,France,Female,34,4,90307.62,1,1,1,159235.29,0,0.567129641113844,0.2,1.0,1.4647361098178309,0.52,26-35,High,0,0,0,Premium Loyal,0.1061,0,9581.64,59.5,Moderate Risk,Cross-Sell Programme
493,France,Female,46,4,0.0,2,1,0,1907.66,0,0.0,0.4,0.3,0.1462634211278591,0.3399999999999999,46-55,Low,0,0,0,High Risk,0.0937,0,0.0,54.0,Moderate Risk,Reactivation Campaign
652,Spain,Female,72,10,0.0,2,1,1,114675.75,0,0.0,0.1818181818181818,1.0,1.1013282847527974,0.8,56+,Medium,0,1,0,Young Active,0.0079,0,0.0,100.0,Loyal,Standard Retention Programme
750,Spain,Male,22,3,121681.82,1,1,0,128643.35,1,0.9458776852617312,0.25,0.3,2.061274859924276,0.21,18-25,Premium,1,1,1,Wealthy Disengaged,0.3681,1,44791.08,28.5,High Risk,Reactivation Campaign
729,France,Male,30,9,0.0,2,1,0,151869.35,0,0.0,0.2,0.3,1.475082641482239,0.49,26-35,High,0,0,1,High Risk,0.0151,0,0.0,69.0,Stable,Reactivation Campaign
646,France,Female,46,4,0.0,3,1,0,93251.42,1,0.0,0.6,0.3,0.977792810959364,0.4399999999999999,46-55,Low,0,0,0,High Risk,0.9274,1,0.0,30.0,High Risk,Immediate Outreach
635,Germany,Female,28,3,81623.67,2,1,1,156791.36,0,0.520584485111392,0.5,1.0,1.7141979974997816,0.59,26-35,High,0,2,0,Premium Loyal,0.0254,0,2073.24,79.0,Stable,Standard Retention Programme
647,Spain,Female,44,5,0.0,3,1,1,174205.22,1,0.0,0.5,1.0,1.3927371358659868,0.75,36-45,Medium,0,1,0,Young Active,0.8713,1,0.0,61.0,Stable,Immediate Outreach
808,France,Male,45,7,118626.55,2,1,0,147132.46,0,0.8062513448674422,0.25,0.3,2.277824941984829,0.43,36-45,Premium,1,0,1,Wealthy Disengaged,0.1303,0,15457.04,63.0,Stable,Reactivation Campaign
524,France,Female,36,10,0.0,2,1,0,109614.57,0,0.0,0.1818181818181818,0.3,0.7693157020824148,0.52,36-45,Low,0,0,0,High Risk,0.057,0,0.0,72.0,Stable,Reactivation Campaign
769,France,Male,29,8,0.0,2,1,1,172290.61,0,0.0,0.2222222222222222,1.0,1.674846042027546,0.74,26-35,High,0,0,1,Young Active,0.0129,0,0.0,94.0,Loyal,Standard Retention Programme
730,Spain,Male,42,4,0.0,2,0,1,85982.47,0,0.0,0.4,0.7,1.141706154535602,0.4999999999999999,36-45,Medium,0,1,1,Young Active,0.031,0,0.0,70.0,Stable,Standard Retention Programme
515,Spain,Male,35,10,176273.95,1,0,1,121277.78,0,1.45346077854675,0.0909090909090909,0.7,1.7550945222920933,0.58,26-35,High,0,1,1,Premium Loyal,0.0368,0,6486.88,65.5,Stable,Cross-Sell Programme
773,Spain,Male,41,9,102827.44,1,0,1,64595.25,0,1.591848443214583,0.1,0.7,1.6885155491364507,0.55,36-45,High,0,1,1,Premium Loyal,0.0798,0,8205.63,62.5,Stable,Cross-Sell Programme
814,Germany,Male,29,8,97086.4,2,1,1,197276.13,0,0.4921320580849893,0.2222222222222222,1.0,2.4318910278280947,0.74,26-35,Premium,0,2,1,Premium Loyal,0.0152,0,1475.71,94.0,Loyal,Standard Retention Programme
710,Spain,Male,22,8,0.0,2,0,0,99645.04,0,0.0,0.2222222222222222,0.0,1.1634856479153837,0.3399999999999999,18-25,Medium,0,1,1,High Risk,0.0147,0,0.0,54.0,Moderate Risk,Reactivation Campaign
432,France,Male,34,9,0.0,2,0,0,6534.18,0,0.0,0.2,0.0,0.0239078050973041,0.37,26-35,Low,0,0,1,High Risk,0.0037,0,0.0,57.0,Moderate Risk,Reactivation Campaign
665,France,Female,40,6,0.0,1,1,1,161848.03,0,0.0,0.1428571428571428,1.0,1.3728253540476814,0.5800000000000001,36-45,Medium,0,0,0,Young Active,0.269,0,0.0,65.5,Stable,Cross-Sell Programme
623,France,Female,44,6,0.0,2,0,0,167162.43,0,0.0,0.2857142857142857,0.0,1.299429816952296,0.28,36-45,Medium,0,0,0,High Risk,0.2159,0,0.0,48.0,Moderate Risk,Reactivation Campaign
738,France,Male,31,9,82674.15,1,1,0,41970.72,0,1.9697584468780405,0.1,0.3,1.381116022210696,0.39,26-35,Medium,0,0,1,Wealthy Disengaged,0.1181,0,9763.82,46.5,Moderate Risk,Reactivation Campaign
528,Spain,Male,36,7,0.0,2,1,0,60536.56,0,0.0,0.25,0.3,0.5287766204324894,0.43,36-45,Low,0,1,1,High Risk,0.016,0,0.0,63.0,Stable,Reactivation Campaign
670,Spain,Female,65,1,0.0,1,1,1,177655.68,1,0.0,0.5,1.0,1.4653450900336973,0.43,56+,High,0,1,0,Young Active,0.1785,0,0.0,50.5,Moderate Risk,Cross-Sell Programme
622,Spain,Female,46,4,107073.27,2,1,1,30984.59,1,3.455582740235058,0.4,1.0,1.1788178397804394,0.62,46-55,Medium,0,1,0,Young Active,0.442,1,47326.39,82.0,Loyal,Relationship Manager Assignment
582,Germany,Male,32,1,88938.62,1,1,1,10054.53,0,8.844747119246822,0.5,1.0,0.878946619995856,0.43,26-35,Low,0,2,1,Premium Loyal,0.0798,0,7097.3,50.5,Moderate Risk,Cross-Sell Programme
785,Germany,Female,36,2,99806.85,1,0,1,36976.52,0,2.699122331622024,0.3333333333333333,0.7,1.560232213532637,0.3399999999999999,36-45,High,0,2,0,Premium Loyal,0.3293,1,32866.4,41.5,Moderate Risk,Cross-Sell Programme
605,Spain,Male,33,5,150092.8,1,0,0,71862.79,0,2.0885733969778104,0.1666666666666666,0.0,1.577796667070249,0.15,26-35,High,1,1,1,Wealthy Disengaged,0.1576,0,23654.63,22.5,High Risk,Reactivation Campaign
479,Germany,Male,35,9,92833.89,1,1,0,99449.86,1,0.9334649293128284,0.1,0.3,1.1090522614748717,0.39,26-35,Medium,0,2,1,Wealthy Disengaged,0.4184,1,38841.7,46.5,Moderate Risk,Reactivation Campaign
685,Germany,Male,30,3,90536.81,1,0,1,63082.88,0,1.4351813807267404,0.25,0.7,1.4041919511321446,0.37,26-35,Medium,0,2,1,Premium Loyal,0.1302,0,11787.89,44.5,Moderate Risk,Cross-Sell Programme
538,Germany,Male,39,7,108055.1,2,1,0,27231.26,0,3.967907915097756,0.25,0.3,0.964012967670382,0.43,36-45,Low,1,2,1,High Risk,0.1531,0,16543.24,63.0,Stable,Reactivation Campaign
562,France,Male,42,2,100238.35,1,0,0,86797.41,0,1.1548408548036768,0.3333333333333333,0.0,1.282953963288117,0.06,36-45,Medium,1,0,1,Wealthy Disengaged,0.175,0,17541.71,13.5,High Risk,Reactivation Campaign
675,Spain,Male,36,9,106190.55,1,0,1,22994.32,0,4.617920081129552,0.1,0.7,1.2601459320471262,0.55,36-45,Medium,0,1,1,Premium Loyal,0.0603,0,6403.29,62.5,Stable,Cross-Sell Programme
721,Germany,Male,28,9,154475.54,2,0,1,101300.94,1,1.524902089732931,0.2,0.7,2.028896767077491,0.6499999999999999,26-35,Premium,0,2,1,Premium Loyal,0.0958,0,14798.76,85.0,Loyal,Relationship Manager Assignment
628,Germany,Female,30,9,132351.29,2,1,1,74169.13,0,1.784428448487282,0.2,1.0,1.5491731414719931,0.77,26-35,High,0,2,0,Premium Loyal,0.0563,0,7451.38,97.0,Loyal,Relationship Manager Assignment
668,Germany,Female,37,6,167864.4,1,1,0,115638.29,0,1.4516208115771032,0.1428571428571428,0.3,2.0471631763247378,0.3,36-45,Premium,1,2,0,Wealthy Disengaged,0.3898,1,65433.54,37.5,Moderate Risk,Reactivation Campaign
506,France,Female,41,1,0.0,2,1,0,31766.3,0,0.0,1.0,0.3,0.3295277395192804,0.2499999999999999,36-45,Low,0,0,0,High Risk,0.0838,0,0.0,45.0,Moderate Risk,Reactivation Campaign
524,Germany,Female,31,8,107818.63,1,1,0,198069.7345,1,0.5443440711833176,0.1111111111111111,0.3,1.7998655384017732,0.36,26-35,Premium,1,2,0,Wealthy Disengaged,0.6923,1,74642.84,43.5,Moderate Risk,Reactivation Campaign
699,Germany,Male,34,4,185173.81,2,1,0,120834.48,0,1.5324456856545776,0.4,0.3,2.240883737427612,0.3399999999999999,26-35,Premium,1,2,1,Wealthy Disengaged,0.0291,0,5388.56,54.0,Moderate Risk,Reactivation Campaign
